LGA,MetropolitanRural,Departmental_region,Area_of_LGA_sq_km,Travel_time_from_Melbourne_mins,Remoteness_category,Population,Number_of_hospitals,Number_of_public_hospitals,Number_of_private_hospitals,Ppl_who_live_near_public_transport_percent,Median_household_income_aud,Hosp_admiss_per_1000_pop
Northern Grampians (S),Rural,Grampians,5726,172,Outer Regional Australia,11799,2,2,0,39.2,815,514.7
Port Phillip (C),Metropolitan,Southern Metropolitan,21,8,Major Cities of Australia,102501,4,0,4,98.1,1672,388.6
Pyrenees (S),Rural,Grampians,3434,106,Inner Regional Australia,6770,1,1,0,7.5,732,510.4
Queenscliffe (B),Rural,Barwon-South Western,9,86,Inner Regional Australia,3058,0,0,0,66.9,1022,666.3
South Gippsland (S),Rural,Gippsland,3299,108,Inner Regional Australia,27930,3,3,0,8.5,920,473.5
Southern Grampians (S),Rural,Barwon-South Western,6654,229,Outer Regional Australia,16145,3,3,0,40.9,908,466
Stonnington (C),Metropolitan,Southern Metropolitan,26,14,Major Cities of Australia,103187,10,0,10,100,1722,405.2
Strathbogie (S),Rural,Hume,3302,104,Inner Regional Australia,9706,2,0,2,12.2,843,531.3
Surf Coast (S),Rural,Barwon-South Western,1553,75,Inner Regional Australia,28282,2,2,0,33.2,1277,364.2
Swan Hill (RC),Rural,Loddon Mallee,6120,256,Outer Regional Australia,20867,4,4,0,38.4,886,557.5
Towong (S),Rural,Hume,6674,304,Outer Regional Australia,5889,2,2,0,5.3,850,282.4
Wangaratta (RC),Rural,Hume,3644,161,Inner Regional Australia,27197,2,1,1,47,913,498.9
Warrnambool (C),Rural,Barwon-South Western,121,210,Inner Regional Australia,33300,2,1,1,72.8,1025,450.3
Wellington (S),Rural,Gippsland,10817,154,Outer Regional Australia,42319,4,3,1,26.6,905,491.3
West Wimmera (S),Rural,Grampians,9106,318,Outer Regional Australia,4089,2,2,0,8.6,815,464.6
Whitehorse (C),Metropolitan,Eastern Metropolitan,64,22,Major Cities of Australia,161724,7,2,5,100,1317,507.1
Whittlesea (C),Metropolitan,Northern Metropolitan,490,28,Inner Regional Australia,179261,4,1,3,75.6,1275,452.1
Wodonga (RC),Rural,Hume,433,325,Inner Regional Australia,37345,3,1,2,53.5,1075,250.5
Wyndham (C),Metropolitan,Western Metropolitan,542,25,Inner Regional Australia,189618,4,1,3,65,1424,334.6
Yarra (C),Metropolitan,Northern Metropolitan,20,6,Major Cities of Australia,83593,4,1,3,100,1680,361.3
Yarra Ranges (S),Metropolitan,Eastern Metropolitan,2465,33,Inner Regional Australia,149538,2,2,0,55.9,1281,444
Yarriambiack (S),Rural,Grampians,7326,255,Outer Regional Australia,7018,3,3,0,7.6,773,557.3
